106292026_0,455935394,177911580,148.74314499671166,12.5,600.0,1.0,1,car,
106292027_0,1223351743,1223351783,183.92685315394394,22.22222222222222,4000.0,2.0,1,car,
106324836_0,456720591,456466262,856.6650012640788,22.22222222222222,4000.0,2.0,1,car,
106324836_1,456466262,456466272,667.2911854535946,22.22222222222222,4000.0,2.0,1,car,
106324887_0,1148478700,456466262,389.00896393601056,13.88888888888889,1500.0,1.0,1,car,
106324891_0,1148478700,456720771,155.5987074033947,22.22222222222222,2000.0,1.0,1,car,
106324891_0_r,456720771,1148478700,155.5987074033947,22.22222222222222,2000.0,1.0,1,car,
106324891_1,456720771,1973302814,155.01106426629457,22.22222222222222,2000.0,1.0,1,car,
106324891_1_r,1973302814,456720771,155.01106426629457,22.22222222222222,2000.0,1.0,1,car,
106370505_0,623070644,177924042,68.67663433229862,12.5,600.0,1.0,1,car,
106370505_0_r,177924042,623070644,68.67663433229862,12.5,600.0,1.0,1,car,
106370505_1,177924042,177903533,29.778466030615473,12.5,600.0,1.0,1,car,
106370505_1_r,177903533,177924042,29.778466030615473,12.5,600.0,1.0,1,car,
106370505_2,177903533,177898332,332.38365760925296,12.5,600.0,1.0,1,car,
106370505_2_r,177898332,177903533,332.38365760925296,12.5,600.0,1.0,1,car,
106370505_3,177898332,3320008997,39.65005933680747,12.5,600.0,1.0,1,car,
106370505_3_r,3320008997,177898332,39.65005933680747,12.5,600.0,1.0,1,car,
106370505_4,3320008997,177937629,21.597600196080275,12.5,600.0,1.0,1,car,
106370505_4_r,177937629,3320008997,21.597600196080275,12.5,600.0,1.0,1,car,
106370505_5,177937629,177898504,86.63821400043035,12.5,600.0,1.0,1,car,
106370505_5_r,177898504,177937629,86.63821400043035,12.5,600.0,1.0,1,car,
106370505_6,177898504,177906231,204.3969967005541,12.5,600.0,1.0,1,car,
106370505_6_r,177906231,177898504,204.3969967005541,12.5,600.0,1.0,1,car,
106370512_0,177938266,177938268,98.63386906594346,12.5,1200.0,2.0,1,car,
106370512_0_r,177938268,177938266,98.63386906594346,12.5,1200.0,2.0,1,car,
106370512_1,177938268,177938270,102.78740037798875,12.5,1200.0,2.0,1,car,
106370512_1_r,177938270,177938268,102.78740037798875,12.5,1200.0,2.0,1,car,
106370512_2,177938270,177938271,101.54179524882886,12.5,1200.0,2.0,1,car,
106370512_2_r,177938271,177938270,101.54179524882886,12.5,1200.0,2.0,1,car,
106370512_3,177938271,177938273,103.91198566944746,12.5,1200.0,2.0,1,car,
106370512_3_r,177938273,177938271,103.91198566944746,12.5,1200.0,2.0,1,car,
106370556_0,453188002,453187996,34.441872862949886,16.666666666666668,1500.0,1.0,1,car,
117445682_0,456466406,3113137173,4.377642330492663,33.333333333333336,4000.0,2.0,1,car,
117445682_1,3113137173,456466330,165.06790426930507,33.333333333333336,4000.0,2.0,1,car,
117445704_0,456466401,456466423,48.17552288477874,33.333333333333336,4000.0,2.0,1,car,
117518814_0,177911593,3111924688,121.19754243871348,22.22222222222222,4000.0,2.0,1,car,
122302188_0,828857188,828857422,65.33631417809075,8.333333333333334,600.0,1.0,1,car,
122302188_0_r,828857422,828857188,65.33631417809075,8.333333333333334,600.0,1.0,1,car,
123445176_0,456720813,598640971,738.9018048903077,33.333333333333336,4000.0,2.0,1,car,
123445176_1,598640971,456720839,848.0986432328282,33.333333333333336,4000.0,2.0,1,car,
123445176_2,456720839,456720843,806.606205366844,33.333333333333336,4000.0,2.0,1,car,
123445176_3,456720843,456720845,485.5366897911144,33.333333333333336,4000.0,2.0,1,car,
123445179_0,456718763,846499875,8.909668162410002,33.333333333333336,6000.0,3.0,1,car,
126300614_0,177909123,177849664,132.6074750659481,8.333333333333334,600.0,1.0,1,car,
126300614_0_r,177849664,177909123,132.6074750659481,8.333333333333334,600.0,1.0,1,car,
126300614_1,177849664,177909125,129.31584541290292,8.333333333333334,600.0,1.0,1,car,
126300614_1_r,177909125,177849664,129.31584541290292,8.333333333333334,600.0,1.0,1,car,
126300614_2,177909125,177909127,132.71170691598718,8.333333333333334,600.0,1.0,1,car,
126300614_2_r,177909127,177909125,132.71170691598718,8.333333333333334,600.0,1.0,1,car,
126300614_3,177909127,177905905,141.39996575666126,8.333333333333334,600.0,1.0,1,car,
126300614_3_r,177905905,177909127,141.39996575666126,8.333333333333334,600.0,1.0,1,car,
126300614_4,177905905,177909129,131.08605854796568,8.333333333333334,600.0,1.0,1,car,
126300614_4_r,177909129,177905905,131.08605854796568,8.333333333333334,600.0,1.0,1,car,
126300614_5,177909129,177909131,65.80520228845597,8.333333333333334,600.0,1.0,1,car,
126300614_5_r,177909131,177909129,65.80520228845597,8.333333333333334,600.0,1.0,1,car,
126300617_0,177849672,177916900,131.11852715505782,8.333333333333334,600.0,1.0,1,car,
126300617_0_r,177916900,177849672,131.11852715505782,8.333333333333334,600.0,1.0,1,car,
126300617_1,177916900,177909702,133.30267812049917,8.333333333333334,600.0,1.0,1,car,
126300617_1_r,177909702,177916900,133.30267812049917,8.333333333333334,600.0,1.0,1,car,
126300617_2,177909702,177905916,126.46945607830587,8.333333333333334,600.0,1.0,1,car,
126300617_2_r,177905916,177909702,126.46945607830587,8.333333333333334,600.0,1.0,1,car,
126300617_3,177905916,177910784,131.9831944813691,8.333333333333334,600.0,1.0,1,car,
126300617_3_r,177910784,177905916,131.9831944813691,8.333333333333334,600.0,1.0,1,car,
126300617_4,177910784,177916902,128.71507086387751,8.333333333333334,600.0,1.0,1,car,
126300617_4_r,177916902,177910784,128.71507086387751,8.333333333333334,600.0,1.0,1,car,
